brain	human	HMDB00073	1	2018-01-09 15:57:22
brain	human	HMDB00073	1	2018-01-09 15:57:25
brain	human	HMDB00073	-1	2018-01-09 15:57:27
brain	human	HMDB00073	1	2018-01-09 16:00:42
brain	human	HMDB15015	1	2018-01-09 16:00:47
brain	human	HMDB00193	1	2018-01-09 16:00:54
brain	human	HMDB00259	1	2018-01-09 16:00:58
brain	human	HMDB00259	-1	2018-01-09 16:01:05
brain	human	HMDB00259	1	2018-01-09 16:01:44
brain	human	HMDB00073	1	2018-01-09 16:06:20
brain	human	HMDB00641	1	2018-01-09 16:08:43
brain	human	HMDB00641	1	2018-01-09 16:09:40
brain	human	HMDB00112	-1	2018-01-09 16:09:44
brain	human	HMDB00112	1	2018-01-09 16:09:47
brain	human	HMDB00112	1	2018-01-09 16:09:52
brain	human	HMDB02393	1	2018-01-09 16:10:42
brain	human	HMDB00641	1	2018-01-09 16:13:43
brain	human	HMDB00073	1	2018-01-09 16:15:11
brain	human	HMDB00112	1	2018-01-09 16:15:13
brain	human	HMDB00112	-1	2018-01-09 16:15:16
brain	human	temozolomide	1	2018-01-09 16:21:11
brain	human	HMDB00073	1	2018-01-09 16:48:25
brain	human	HMDB00641	1	2018-01-09 16:49:33
brain	human	HMDB00073	1	2018-03-05 10:36:12
brain	human	HMDB00259	1	2018-03-05 10:36:14
brain	human	HMDB00112	1	2018-03-05 10:36:16
brain	human	HMDB00112	-1	2018-03-05 10:36:18
brain	human	HMDB00112	1	2018-03-05 10:36:19
brain	human	HMDB00112	1	2018-03-05 10:36:20
brain	human	HMDB00112	1	2018-03-05 10:36:22
